Geneid	SRR11357517
gene:ECOLIN_00010	1399
gene:ECOLIN_00015	725
gene:ECOLIN_00020	796
gene:ECOLIN_00025	108
gene:ECOLIN_00030	223
gene:ECOLIN_00035	148
gene:ECOLIN_00040	5495
gene:ECOLIN_00045	373
gene:ECOLIN_00050	222
gene:ECOLIN_00055	49
gene:ECOLIN_00060	18
gene:ECOLIN_00065	289773
gene:ECOLIN_00070	15007
gene:ECOLIN_00075	2742
gene:ECOLIN_00080	17
gene:ECOLIN_00085	52
gene:ECOLIN_00090	89
gene:ECOLIN_00095	3131
gene:ECOLIN_00100	490
gene:ECOLIN_00105	363
gene:ECOLIN_00110	1225
gene:ECOLIN_00115	10440
gene:ECOLIN_00120	716
gene:ECOLIN_00125	412
gene:ECOLIN_00130	387
gene:ECOLIN_00135	46
gene:ECOLIN_00140	22
gene:ECOLIN_00145	1524
gene:ECOLIN_00155	182
gene:ECOLIN_00160	588
gene:ECOLIN_00165	223
gene:ECOLIN_00170	22
gene:ECOLIN_00175	9
gene:ECOLIN_00180	218
gene:ECOLIN_00185	110
gene:ECOLIN_00190	271
gene:ECOLIN_00195	6
gene:ECOLIN_00200	10
gene:ECOLIN_00205	25
gene:ECOLIN_00210	11
gene:ECOLIN_00215	3
gene:ECOLIN_00220	28
gene:ECOLIN_00225	109
gene:ECOLIN_00230	381
gene:ECOLIN_00235	347
gene:ECOLIN_00240	417
gene:ECOLIN_00245	190
gene:ECOLIN_00250	345
gene:ECOLIN_00255	476
gene:ECOLIN_00260	701
gene:ECOLIN_00265	218
gene:ECOLIN_00270	1615
gene:ECOLIN_00275	4171
gene:ECOLIN_00280	232
gene:ECOLIN_00285	255
gene:ECOLIN_00290	1862
gene:ECOLIN_00295	1625
gene:ECOLIN_00300	10
gene:ECOLIN_00305	86
gene:ECOLIN_00310	44
gene:ECOLIN_00315	84
gene:ECOLIN_00320	2
gene:ECOLIN_00325	35
gene:ECOLIN_00330	219
gene:ECOLIN_00335	36
gene:ECOLIN_00340	67
gene:ECOLIN_00345	320
gene:ECOLIN_00350	217
gene:ECOLIN_00355	1802
gene:ECOLIN_00360	107
gene:ECOLIN_00365	263
gene:ECOLIN_00370	205
gene:ECOLIN_00375	222
gene:ECOLIN_00380	144
gene:ECOLIN_00385	665
gene:ECOLIN_00390	171
gene:ECOLIN_00395	868
gene:ECOLIN_00400	480
gene:ECOLIN_00405	1132
gene:ECOLIN_00410	212
