#KEY	SRR10197193_2	SRR10197194_2	SRR10197195_2	SRR10197196_2	SRR10197197_2	SRR10197198_2	SRR10197199_2	SRR10197200_2	SRR10197201_2	SRR10197202_2	SRR10197203_2	SRR10197204_2
FBgn0051266	0	8	0	0	0	0	0	2	0	0	0	0
FBgn0051267	27	0	0	0	0	7	6	12	1	2	0	0
FBgn0051268	210	193	91	128	133	155	361	248	127	129	83	146
FBgn0051269	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051272	0	0	0	0	0	0	0	0	0	3	1	1
FBgn0051274	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0051278	327	532	310	271	396	311	889	630	283	323	110	210
FBgn0051279	977	831	465	595	345	563	1820	928	395	660	269	266
FBgn0051281	0	0	0	0	0	0	0	0	0	0	0	3
FBgn0051282	342	280	120	188	172	190	420	344	143	197	79	61
FBgn0051286	134	205	89	177	156	144	444	199	131	152	27	72
FBgn0051287	9	36	40	62	64	14	102	45	41	42	24	5
FBgn0051288	30	45	49	87	95	100	84	143	50	74	19	46
FBgn0051292	0	0	0	0	0	0	2	0	0	0	0	0
FBgn0051294	16	2	0	5	0	5	0	22	11	4	1	0
FBgn0051296	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051300	0	4	0	8	2	1	0	8	20	6	0	0
FBgn0051301	0	0	0	0	1	0	0	0	0	0	0	0
FBgn0051313	0	0	0	0	0	0	0	10	0	2	2	0
FBgn0051320	0	9	0	2	0	3	2	0	4	2	1	8
FBgn0051321	0	0	2	0	2	4	0	0	0	1	0	12
FBgn0051323	356	346	263	191	206	215	573	327	130	202	125	68
FBgn0051324	12	6	0	10	11	11	0	14	8	10	0	0
FBgn0051326	6243	5585	5865	4378	4820	4857	6411	8282	4071	4394	3421	3080
FBgn0051327	49	49	10	56	70	44	51	76	46	51	40	78
FBgn0051331	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051333	153	184	125	105	122	170	114	243	75	80	87	38
FBgn0051334	619	304	355	296	415	522	944	658	502	349	397	173
FBgn0051337	971	1058	450	502	311	256	1644	822	192	444	265	282
FBgn0051342	1	0	0	0	0	0	0	0	0	1	0	0
FBgn0051343	495	774	407	469	587	798	1013	1099	746	694	486	510
FBgn0051344	520	447	454	403	408	364	775	504	206	312	295	205
FBgn0051345	185	176	149	94	197	179	244	285	193	159	128	150
FBgn0051347	0	0	4	0	0	0	0	0	0	0	0	0
FBgn0051352	0	2	13	8	26	45	39	8	16	0	2	12
FBgn0051354	0	0	0	0	0	1	3	18	6	0	0	0
FBgn0051356	0	0	0	0	0	0	0	0	3	0	0	0
FBgn0051357	0	2	0	0	14	0	1	12	2	0	0	0
FBgn0051358	0	0	0	0	0	4	0	19	0	0	4	0
FBgn0051360	0	4	0	0	0	0	0	8	0	0	0	0
FBgn0051361	2485	2190	1396	1492	1372	1167	4098	2451	1120	1270	803	953
FBgn0051363	40	45	8	11	32	81	71	34	8	9	5	13
FBgn0051365	0	0	0	0	0	0	1	2	1	2	12	0
FBgn0051368	2190	2456	1479	1655	1082	1848	5021	2868	1406	1724	1014	970
FBgn0051370	0	16	0	1	11	22	1	1	8	1	0	2
FBgn0051371	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051373	590	485	461	317	389	486	889	756	378	505	424	437
FBgn0051374	0	1	0	0	0	0	1	11	0	0	0	0
FBgn0051380	0	7	1	0	10	1	0	0	18	2	0	0
FBgn0051382	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051383	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051386	264	505	363	310	612	329	649	844	401	278	229	318
FBgn0051388	1150	948	929	746	737	898	1796	1857	932	878	778	574
FBgn0051390	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051391	1	0	0	0	1	1	1	2	2	1	0	1
FBgn0051404	0	0	0	0	1	0	1	0	0	0	0	0
FBgn0051406	183	251	170	180	357	231	253	345	268	191	122	51
FBgn0051407	0	1	0	1	2	0	0	0	0	2	1	0
FBgn0051410	0	0	0	0	0	0	0	0	4	0	0	0
FBgn0051413	1	0	0	0	0	0	0	0	0	2	0	0
FBgn0051414	1	0	0	0	2	0	0	1	0	0	0	0
FBgn0051415	0	0	0	0	1	0	0	2	0	0	0	1
FBgn0051416	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051418	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051419	0	0	0	0	0	1	0	0	0	0	0	0
FBgn0051423	0	0	0	0	0	0	0	1	2	0	0	0
FBgn0051424	0	0	0	0	1	0	0	0	1	0	0	0
FBgn0051427	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051431	1334	884	767	604	718	926	2753	1434	597	841	567	913
FBgn0051432	0	0	0	1	0	0	0	0	0	0	0	0
FBgn0051436	77	88	90	62	46	40	105	108	46	18	21	81
FBgn0051437	18	41	37	4	20	42	0	16	21	0	1	1
FBgn0051438	0	5	0	0	0	1	0	0	0	0	0	0
FBgn0051439	0	2	0	0	0	0	2	3	0	0	0	1
FBgn0051441	53	26	14	40	0	77	22	24	0	8	22	22
FBgn0051445	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051446	2728	2468	2138	2022	2484	2954	3576	3977	1241	1942	1814	2164
FBgn0051450	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051451	0	0	1	0	0	0	1	0	0	0	0	0
FBgn0051453	0	6	1	0	0	0	0	0	0	0	0	0
FBgn0051454	37	28	12	40	126	89	177	83	112	92	107	14
FBgn0051457	0	0	0	0	0	0	0	1	0	0	1	0
FBgn0051459	0	0	0	0	0	0	17	0	3	0	0	0
FBgn0051460	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051463	3	9	1	2	3	2	5	2	7	1	2	20
FBgn0051464	0	0	0	0	4	0	9	2	1	1	0	2
FBgn0051465	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051467	482	519	316	228	229	258	1177	649	379	315	197	249
FBgn0051469	4	35	20	28	46	39	100	59	45	67	29	28
FBgn0051471	48	43	18	49	67	29	133	36	25	67	54	43
FBgn0051472	9541	6765	10482	7226	10425	8982	9418	13515	6299	10124	8326	7296
FBgn0051473	1763	1285	1952	1583	2460	2261	2589	3904	2291	2461	2239	1854
FBgn0051475	221	282	174	156	173	516	531	347	267	252	254	212
FBgn0051477	0	0	17	1	0	0	0	23	0	8	0	7
FBgn0051480	0	35	36	26	31	50	236	49	30	80	52	49
FBgn0051481	63	74	159	87	91	176	289	206	111	105	56	68
FBgn0051482	29	50	103	14	24	29	215	60	57	22	39	35
FBgn0051485	0	0	0	0	4	0	0	0	0	0	0	5
FBgn0051491	0	0	1	0	0	0	0	0	0	0	0	0
FBgn0051493	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051494	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051495	308	210	305	244	331	228	330	303	370	206	158	233
FBgn0051496	79	45	38	27	52	53	64	64	24	17	59	19
FBgn0051497	0	0	0	0	0	0	14	0	0	0	0	0
FBgn0051501	0	0	0	0	0	0	0	2	0	0	0	0
FBgn0051506	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051510	2	0	0	11	1	1	0	3	8	0	1	0
FBgn0051514	0	1	0	0	0	1	1	2	0	0	1	0
FBgn0051515	761	620	701	539	737	739	1152	932	766	692	432	456
FBgn0051516	0	0	8	17	24	17	15	7	5	2	0	0
FBgn0051518	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051522	5	5	3	4	5	2	11	9	1	5	13	2
FBgn0051523	874	662	593	492	649	790	1144	917	553	642	443	555
FBgn0051524	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051525	2	0	2	0	1	0	2	0	8	2	2	1
FBgn0051526	0	0	0	0	0	0	2	0	1	0	0	0
FBgn0051528	28	6	2	8	0	0	2	9	15	0	5	16
FBgn0051533	114	59	28	48	125	6	63	140	47	40	70	72
FBgn0051538	2557	2606	1638	2213	3477	2930	4089	4222	2886	2141	2260	1954
FBgn0051542	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051546	366	280	275	204	146	86	662	365	82	142	80	76
FBgn0051547	403	334	412	413	662	426	361	858	606	210	253	221
FBgn0051548	112	126	94	90	333	261	158	326	464	171	163	72
FBgn0051549	595	608	479	342	236	226	1373	597	174	422	244	280
FBgn0051550	11	20	22	49	57	45	48	81	40	74	40	37
FBgn0051551	2325	2662	1661	1447	1554	1597	4274	3150	1014	1239	971	1053
FBgn0051559	639	725	393	603	782	506	1226	1385	444	631	468	365
FBgn0051560	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051561	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051562	732	894	704	410	438	377	2515	892	211	454	418	301
FBgn0051568	0	19	0	6	16	3	0	6	3	1	0	0
FBgn0051569	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051570	1	1	0	0	0	0	0	0	0	0	0	0
FBgn0051573	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051575	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051576	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051577	0	0	0	0	1	0	0	0	0	0	0	0
FBgn0051578	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051579	153	195	139	129	82	74	257	159	109	101	87	55
FBgn0051580	1	6	0	13	1	17	55	12	21	15	13	30
FBgn0051583	0	4	0	0	0	0	0	0	0	0	0	0
FBgn0051588	12	0	0	0	0	5	0	8	0	0	0	0
FBgn0051591	0	0	0	8	1	1	0	2	4	0	0	6
FBgn0051601	0	0	0	0	0	6	0	10	0	0	0	0
FBgn0051602	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051603	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051604	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051606	17	4	0	10	30	12	25	15	10	0	12	0
FBgn0051609	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051611	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051612	366	269	116	192	241	182	435	353	109	116	97	144
FBgn0051613	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051614	0	0	0	8	0	0	1	0	0	0	0	0
FBgn0051615	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051616	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051617	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051618	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051619	2309	1935	1236	1373	1961	1685	2485	2879	1771	1659	1365	1229
FBgn0051624	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0051626	34	7	3	0	0	0	0	1	0	3	0	0
FBgn0051627	3	42	0	5	1	20	35	5	0	1	0	8
FBgn0051631	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0051632	260	268	159	154	248	101	296	295	192	143	80	212
FBgn0051633	2369	2636	1714	1343	2246	1756	3531	3797	1434	2005	1498	1653
FBgn0051634	0	16	1	10	31	1	0	10	6	8	8	3
FBgn0051635	8166	8770	6805	6130	6966	7381	15220	11063	6235	6275	5161	4742
FBgn0051636	236	480	297	374	493	343	533	620	276	252	340	294
FBgn0051637	2625	2139	1777	1415	2340	2152	3413	2519	1823	1930	1602	1420
FBgn0051638	1574	934	965	853	1310	915	2370	1439	814	879	621	673
FBgn0051639	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051642	14	37	0	40	43	46	51	132	11	23	60	104
FBgn0051643	1766	1415	943	1007	1283	1068	2293	1672	859	930	899	727
FBgn0051644	0	0	0	0	0	0	0	0	0	0	0	14
FBgn0051646	212	70	62	100	198	88	137	96	122	66	122	88
FBgn0051647	0	0	0	0	0	10	0	0	0	0	0	0
FBgn0051648	448	489	370	196	414	639	1069	627	364	241	323	248
FBgn0051658	369	426	454	223	224	248	896	467	123	217	236	215
FBgn0051659	0	9	0	10	6	9	16	38	40	0	20	0
FBgn0051660	217	270	184	154	245	319	398	505	437	256	250	120
FBgn0051661	685	575	27	214	59	156	1024	450	175	128	350	149
FBgn0051663	1405	1528	1349	1266	1779	1206	1776	2417	1299	1602	1330	822
FBgn0051664	22	53	47	53	46	126	36	58	187	24	44	26
FBgn0051665	795	839	453	775	999	971	1403	1237	979	1125	733	529
FBgn0051668	14	0	0	0	0	1	2	1	9	0	0	0
FBgn0051669	0	0	0	0	0	0	0	0	0	2	0	0
FBgn0051673	604	680	487	535	591	530	1224	1443	833	749	706	580
FBgn0051674	463	431	327	428	400	474	1101	655	572	460	267	298
FBgn0051675	274	185	328	254	263	418	211	662	306	364	229	235
FBgn0051676	722	789	626	546	1225	1164	882	819	1397	868	706	625
FBgn0051677	1	3	1	0	4	2	6	1	0	0	0	0
FBgn0051678	1534	1850	1134	1244	1134	1249	2751	2718	1240	1285	821	793
FBgn0051679	0	0	1	0	1	0	9	0	0	0	0	1
FBgn0051680	0	0	0	6	0	0	0	0	0	0	0	0
FBgn0051681	1981	1807	2408	1627	1983	3785	2382	3052	2221	1637	1877	1202
FBgn0051682	26	1	0	11	0	0	0	0	0	0	0	0
FBgn0051683	166	117	80	76	181	161	244	183	87	101	47	56
FBgn0051687	168	154	131	81	180	135	236	199	131	207	187	166
FBgn0051690	160	226	165	108	372	254	80	465	278	345	202	278
FBgn0051693	0	0	0	0	0	0	43	1	0	0	0	0
FBgn0051694	13882	12191	10736	8993	12224	11177	20909	18133	10605	9877	9321	8394
FBgn0051697	30	11	1	8	0	14	32	0	18	14	10	0
FBgn0051698	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051700	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051702	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051703	1	0	0	0	0	1	0	1	0	0	0	0
FBgn0051704	246	498	229	446	673	409	227	1014	968	750	671	398
FBgn0051706	110	62	130	111	243	134	224	242	183	259	145	96
FBgn0051708	98	80	30	77	56	65	81	167	102	72	40	42
FBgn0051709	1	0	0	0	1	1	1	1	2	0	0	0
FBgn0051710	79	141	85	115	217	102	165	322	211	184	167	130
FBgn0051712	1394	1202	884	899	1569	1102	1623	1706	1165	1097	815	732
FBgn0051713	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051715	463	361	361	428	527	331	473	590	362	338	301	208
FBgn0051716	8231	6502	6060	5042	6286	6015	14404	9221	5254	5144	4228	4112
FBgn0051717	1814	1525	1398	1141	1863	1419	1605	2405	1447	1236	1274	1002
FBgn0051718	66	0	33	14	30	44	3	26	37	39	62	2
FBgn0051719	861	1013	757	920	1165	1306	1126	1479	1034	858	769	662
FBgn0051720	250	573	494	402	470	370	289	643	390	320	207	257
FBgn0051721	750	770	504	634	900	608	794	1008	698	527	399	486
FBgn0051729	8161	8459	7768	6814	9826	9032	14156	14254	8351	7276	6113	5148
FBgn0051730	1	0	1	0	0	0	1	1	0	3	1	1
FBgn0051735	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051739	6863	5650	3935	3326	3232	3761	9670	5664	2341	3323	2266	1962
FBgn0051740	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051741	1	0	0	0	0	0	0	1	4	1	0	0
FBgn0051742	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0051752	0	0	0	21	16	0	24	4	0	0	0	0
FBgn0051754	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051755	1684	2262	967	1388	1173	1312	3032	2192	867	1133	662	738
FBgn0051759	1692	1396	1130	856	875	885	2011	1662	622	628	651	629
FBgn0051760	466	314	318	308	385	232	411	229	314	247	291	146
FBgn0051769	2899	2467	2419	2546	5246	4615	2369	4540	3984	2225	2990	1628
FBgn0051773	0	2	20	0	0	30	0	4	0	0	0	0
FBgn0051774	26	110	45	73	206	122	187	97	61	126	70	46
FBgn0051776	8	1	0	25	0	0	1	15	33	6	0	0
FBgn0051777	135	119	168	162	245	355	119	390	425	143	126	258
FBgn0051778	1068	740	524	692	1525	824	1200	1394	984	628	675	402
FBgn0051779	0	7	0	4	0	0	0	1	6	22	0	0
FBgn0051780	0	0	8	2	0	0	0	8	0	2	0	0
FBgn0051781	14813	16157	12322	12535	21135	17864	27400	22071	18242	16718	14884	11401
FBgn0051784	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0051785	27	77	30	48	66	53	38	139	10	49	78	46
FBgn0051787	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051788	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051789	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0051792	53	34	67	14	82	46	71	73	98	67	88	42
FBgn0051793	1843	2068	1448	1569	1858	2011	3286	2880	1986	1850	1342	1120
FBgn0051797	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051798	57	85	30	71	84	66	89	136	99	64	18	25
FBgn0051800	125	73	162	80	176	68	261	127	109	73	99	66
FBgn0051802	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051803	0	4	0	7	12	0	4	31	8	0	0	0
FBgn0051804	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051805	0	1	1	0	4	8	0	1	0	1	0	0
FBgn0051806	0	0	0	0	16	0	24	0	0	0	0	0
FBgn0051807	66	12	5	0	1	0	16	7	6	1	11	1
FBgn0051809	31	94	38	59	71	57	40	98	26	37	55	32
FBgn0051810	147	244	96	177	266	243	202	297	180	290	230	79
FBgn0051812	0	47	0	16	27	9	11	56	15	12	30	16
FBgn0051813	1	119	234	0	129	1	0	0	9	85	28	274
FBgn0051814	67	76	59	92	152	89	179	114	155	125	82	77
FBgn0051815	50	14	18	13	50	23	119	45	31	50	0	32
FBgn0051816	0	0	0	0	0	0	0	0	0	0	1	0
FBgn0051820	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051821	444	381	475	540	560	474	572	1303	972	846	692	610
FBgn0051822	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051823	56	74	37	64	28	53	29	64	76	55	43	117
FBgn0051824	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051826	55	100	141	76	155	125	122	110	169	41	130	75
FBgn0051827	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051832	26	26	55	40	135	126	22	89	43	43	39	31
FBgn0051835	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051840	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0051845	0	0	27	26	8	0	20	53	20	7	28	0
FBgn0051848	3	0	1	1	5	0	14	17	12	1	0	0
FBgn0051849	398	413	204	163	181	309	786	555	123	305	229	285
FBgn0051851	0	0	0	0	1	16	5	0	0	0	0	0
FBgn0051852	1071	757	653	535	817	680	1204	819	471	638	449	462
FBgn0051855	549	375	426	374	380	399	1540	874	409	813	346	433
FBgn0051858	0	0	0	0	0	0	1	0	5	0	0	0
FBgn0051860	0	10	0	5	0	4	22	0	6	1	0	0
FBgn0051861	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051862	1	0	0	1	18	10	0	0	0	0	12	14
FBgn0051864	145	162	155	158	122	92	491	482	124	353	206	160
FBgn0051865	1	0	3	2	6	2	27	5	1	6	1	2
FBgn0051866	82	80	44	69	124	140	435	199	187	121	135	111
FBgn0051867	0	0	0	0	0	0	0	0	0	1	0	0
FBgn0051869	2314	1612	2447	1967	2370	2129	2683	4068	1383	2276	1659	1312
FBgn0051870	0	0	0	0	1	0	1	0	0	0	1	0
FBgn0051871	155	117	82	51	90	30	141	105	30	61	20	35
FBgn0051872	0	0	0	0	0	0	0	1	0	0	0	0
FBgn0051874	1	14	10	1	14	0	95	25	6	19	0	10
FBgn0051875	813	860	424	436	537	486	1509	847	315	419	204	321
FBgn0051876	0	0	0	0	0	1	0	8	7	0	1	9
FBgn0051882	0	0	0	0	0	0	0	0	1	0	0	0
FBgn0051885	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051888	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051889	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051890	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051892	0	0	0	0	0	0	0	0	0	0	0	0
